"","chain","amount_staked_nodes","amount_staked_apps","aligned_height","date","all_relays"
"84","0025",29402,159,56804,"2022-04-17 21:22:21.236",11288
"85","0026",35629,106,56804,"2022-04-17 21:22:21.236",45065
"86","0027",42136,234,56804,"2022-04-17 21:22:21.236",5695213
"87","0028",24452,64,56804,"2022-04-17 21:22:21.236",55864
"88","0040",42790,223,56804,"2022-04-17 21:22:21.236",9707405
"89","0044",17238,11,56804,"2022-04-17 21:22:21.236",244836
"90","0047",7705,4,56804,"2022-04-17 21:22:21.236",8571
"91","0048",4351,3,56804,"2022-04-17 21:22:21.236",8004
"92","03DF",28365,11,56804,"2022-04-17 21:22:21.236",411734
"93","0001",31946,127,56808,"2022-04-17 22:25:56.650",44129
"94","0003",37987,103,56808,"2022-04-17 22:25:56.650",135518
"95","0004",20830,149,56808,"2022-04-17 22:25:56.650",19243
"96","0005",42303,69,56808,"2022-04-17 22:25:56.650",2061556
"97","0006",6243,55,56808,"2022-04-17 22:25:56.650",21917
"98","0009",40959,193,56808,"2022-04-17 22:25:56.650",13528042
"99","000A",5126,4,56808,"2022-04-17 22:25:56.650",6078
"100","000B",2134,14,56808,"2022-04-17 22:25:56.650",7811
"101","000C",4879,14,56808,"2022-04-17 22:25:56.650",21512
"102","0010",3542,14,56808,"2022-04-17 22:25:56.650",74
"103","0021",42981,673,56808,"2022-04-17 22:25:56.650",4177379
"104","0022",23863,72,56808,"2022-04-17 22:25:56.650",148509
"105","0023",13511,83,56808,"2022-04-17 22:25:56.650",3475
"106","0024",19729,72,56808,"2022-04-17 22:25:56.650",64
"107","0025",29402,159,56808,"2022-04-17 22:25:56.650",13960
"108","0026",35629,106,56808,"2022-04-17 22:25:56.650",47069
"109","0027",42136,234,56808,"2022-04-17 22:25:56.650",6576756
"110","0028",24452,64,56808,"2022-04-17 22:25:56.650",55275
"111","0040",42790,223,56808,"2022-04-17 22:25:56.650",10438787
"112","0044",17241,11,56808,"2022-04-17 22:25:56.650",257654
"113","0047",7705,4,56808,"2022-04-17 22:25:56.650",4588
"114","0048",4351,3,56808,"2022-04-17 22:25:56.650",11574
"115","03DF",28365,11,56808,"2022-04-17 22:25:56.650",469221
"116","0001",31955,127,56812,"2022-04-17 23:36:00.688",31025
"117","0003",37996,103,56812,"2022-04-17 23:36:00.688",126807
"118","0004",20830,149,56812,"2022-04-17 23:36:00.688",19779
"119","0005",42312,69,56812,"2022-04-17 23:36:00.688",2005498
"120","0006",6243,55,56812,"2022-04-17 23:36:00.688",14395
"121","0009",40969,193,56812,"2022-04-17 23:36:00.688",13169677
"122","000A",5126,4,56812,"2022-04-17 23:36:00.688",8304
"123","000B",2134,14,56812,"2022-04-17 23:36:00.688",18337
"124","000C",4879,14,56812,"2022-04-17 23:36:00.688",24073
