"","chain","amount_staked_nodes","amount_staked_apps","aligned_height","date","all_relays"
"1","0001",30657,127,54164,"2022-03-20 16:46:26.512",22400
"2","0003",32485,104,54164,"2022-03-20 16:46:26.512",106728
"3","0004",4025,149,54164,"2022-03-20 16:46:26.512",45935
"4","0005",35180,69,54164,"2022-03-20 16:46:26.512",1260721
"5","0009",32904,168,54164,"2022-03-20 16:46:26.512",8639976
"6","0021",37228,673,54164,"2022-03-20 16:46:26.512",1383129
"7","0022",19038,72,54164,"2022-03-20 16:46:26.512",19590
"8","0023",23251,83,54164,"2022-03-20 16:46:26.512",41349
"9","0025",24577,159,54164,"2022-03-20 16:46:26.512",6360
"10","0026",29265,106,54164,"2022-03-20 16:46:26.512",64219
"11","0027",36634,234,54164,"2022-03-20 16:46:26.512",269617
"12","0028",19947,64,54164,"2022-03-20 16:46:26.512",40842
"13","0040",37038,223,54164,"2022-03-20 16:46:26.512",7758402
"14","0044",12920,11,54164,"2022-03-20 16:46:26.512",64616
"15","0047",1100,4,54164,"2022-03-20 16:46:26.512",160005
"16","0001",30658,127,54168,"2022-03-20 17:47:04.901",24980
"17","0003",32486,104,54168,"2022-03-20 17:47:04.901",56047
"18","0004",4025,149,54168,"2022-03-20 17:47:04.901",25467
"19","0005",35181,69,54168,"2022-03-20 17:47:04.901",957703
"20","0009",32904,168,54168,"2022-03-20 17:47:04.901",7664704
"21","000A",5503,4,54168,"2022-03-20 17:47:04.901",33744
"22","0021",37229,673,54168,"2022-03-20 17:47:04.901",1109992
"23","0022",19038,72,54168,"2022-03-20 17:47:04.901",12937
"24","0023",23251,83,54168,"2022-03-20 17:47:04.901",916
"25","0025",24577,159,54168,"2022-03-20 17:47:04.901",46790
"26","0026",29265,106,54168,"2022-03-20 17:47:04.901",58055
"27","0027",36634,234,54168,"2022-03-20 17:47:04.901",262745
"28","0028",19947,64,54168,"2022-03-20 17:47:04.901",33953
"29","0040",37039,223,54168,"2022-03-20 17:47:04.901",8271650
"30","0044",12920,11,54168,"2022-03-20 17:47:04.901",25151
"31","0047",1469,4,54168,"2022-03-20 17:47:04.901",168235
"32","0001",30658,127,54172,"2022-03-20 18:50:24.792",22191
"33","0003",32485,104,54172,"2022-03-20 18:50:24.792",124123
"34","0004",4025,149,54172,"2022-03-20 18:50:24.792",36214
"35","0005",35181,69,54172,"2022-03-20 18:50:24.792",1135976
"36","0009",32904,168,54172,"2022-03-20 18:50:24.792",8358809
"37","0021",37229,673,54172,"2022-03-20 18:50:24.792",1235214
"38","0022",19038,72,54172,"2022-03-20 18:50:24.792",14066
"39","0023",23251,83,54172,"2022-03-20 18:50:24.792",857
"40","0025",24577,159,54172,"2022-03-20 18:50:24.792",5009
"41","0026",29265,106,54172,"2022-03-20 18:50:24.792",54188
"42","0027",36634,234,54172,"2022-03-20 18:50:24.792",251480
"43","0028",19947,64,54172,"2022-03-20 18:50:24.792",33843
"44","0040",37039,223,54172,"2022-03-20 18:50:24.792",7070124
"45","0044",12920,11,54172,"2022-03-20 18:50:24.792",17549
"46","0047",1612,4,54172,"2022-03-20 18:50:24.792",237170
"47","0001",30685,127,54176,"2022-03-20 19:51:14.204",18640
"48","0003",32512,104,54176,"2022-03-20 19:51:14.204",106250
"49","0004",4027,149,54176,"2022-03-20 19:51:14.204",31413
"50","0005",35208,69,54176,"2022-03-20 19:51:14.204",1072008
"51","0009",32921,168,54176,"2022-03-20 19:51:14.204",7423335
"52","0021",37256,673,54176,"2022-03-20 19:51:14.204",1218493
"53","0022",19040,72,54176,"2022-03-20 19:51:14.204",18106
"54","0023",23274,83,54176,"2022-03-20 19:51:14.204",934
"55","0025",24603,159,54176,"2022-03-20 19:51:14.204",5239
"56","0026",29292,106,54176,"2022-03-20 19:51:14.204",61445
"57","0027",36661,234,54176,"2022-03-20 19:51:14.204",258120
"58","0028",19949,64,54176,"2022-03-20 19:51:14.204",28662
"59","0040",37066,223,54176,"2022-03-20 19:51:14.204",6785112
"60","0044",12947,11,54176,"2022-03-20 19:51:14.204",49053
"61","0047",1614,4,54176,"2022-03-20 19:51:14.204",270977
"62","0001",30685,127,54180,"2022-03-20 20:57:36.905",23533
"63","0003",32512,104,54180,"2022-03-20 20:57:36.905",119861
"64","0004",4025,149,54180,"2022-03-20 20:57:36.905",39896
"65","0005",35208,69,54180,"2022-03-20 20:57:36.905",967136
"66","0006",4980,55,54180,"2022-03-20 20:57:36.905",41345
"67","0009",32922,168,54180,"2022-03-20 20:57:36.905",7040008
"68","0021",37257,673,54180,"2022-03-20 20:57:36.905",1376850
"69","0022",19042,72,54180,"2022-03-20 20:57:36.905",10815
"70","0023",23274,83,54180,"2022-03-20 20:57:36.905",1008
"71","0025",24603,159,54180,"2022-03-20 20:57:36.905",6167
"72","0026",29292,106,54180,"2022-03-20 20:57:36.905",55235
"73","0027",36661,234,54180,"2022-03-20 20:57:36.905",287009
"74","0028",19951,64,54180,"2022-03-20 20:57:36.905",36505
"75","0040",37068,223,54180,"2022-03-20 20:57:36.905",7853330
"76","0044",12950,11,54180,"2022-03-20 20:57:36.905",39261
"77","0047",1617,4,54180,"2022-03-20 20:57:36.905",179154
"78","0001",30685,127,54184,"2022-03-20 22:02:14.573",25451
"79","0003",32512,104,54184,"2022-03-20 22:02:14.573",81303
"80","0004",4025,149,54184,"2022-03-20 22:02:14.573",30779
"81","0005",35208,69,54184,"2022-03-20 22:02:14.573",734322
"82","0009",32923,168,54184,"2022-03-20 22:02:14.573",8321569
"83","000A",5503,4,54184,"2022-03-20 22:02:14.573",34243
"84","000B",1615,14,54184,"2022-03-20 22:02:14.573",40050
"85","0021",37257,673,54184,"2022-03-20 22:02:14.573",1549316
"86","0022",19043,72,54184,"2022-03-20 22:02:14.573",18327
"87","0023",23275,83,54184,"2022-03-20 22:02:14.573",840
"88","0025",24603,159,54184,"2022-03-20 22:02:14.573",6682
"89","0026",29293,106,54184,"2022-03-20 22:02:14.573",60468
"90","0027",36661,234,54184,"2022-03-20 22:02:14.573",283280
"91","0028",19952,64,54184,"2022-03-20 22:02:14.573",38293
"92","0040",37068,223,54184,"2022-03-20 22:02:14.573",8944356
"93","0044",12951,11,54184,"2022-03-20 22:02:14.573",21256
"94","0047",1617,4,54184,"2022-03-20 22:02:14.573",136724
"95","0001",30685,127,54188,"2022-03-20 23:01:01.821",20331
"96","0003",32512,104,54188,"2022-03-20 23:01:01.821",86994
"97","0004",4025,149,54188,"2022-03-20 23:01:01.821",36937
"98","0005",35208,69,54188,"2022-03-20 23:01:01.821",1019794
"99","0006",4980,55,54188,"2022-03-20 23:01:01.821",37695
"100","0009",32923,168,54188,"2022-03-20 23:01:01.821",8204772
"101","0021",37257,673,54188,"2022-03-20 23:01:01.821",1444622
"102","0022",19043,72,54188,"2022-03-20 23:01:01.821",19991
"103","0023",23275,83,54188,"2022-03-20 23:01:01.821",1242
"104","0025",24603,159,54188,"2022-03-20 23:01:01.821",7825
"105","0026",29293,106,54188,"2022-03-20 23:01:01.821",71063
"106","0027",36661,234,54188,"2022-03-20 23:01:01.821",311895
"107","0028",19952,64,54188,"2022-03-20 23:01:01.821",41542
"108","0040",37068,223,54188,"2022-03-20 23:01:01.821",9374869
"109","0044",12951,11,54188,"2022-03-20 23:01:01.821",44668
"110","0047",1617,4,54188,"2022-03-20 23:01:01.821",146520
"111","0001",30685,127,54192,"2022-03-21 00:02:44.966",20555
"112","0003",32512,104,54192,"2022-03-21 00:02:44.966",115060
"113","0004",4025,149,54192,"2022-03-21 00:02:44.966",25917
"114","0005",35208,69,54192,"2022-03-21 00:02:44.966",906541
"115","0009",32923,168,54192,"2022-03-21 00:02:44.966",7863756
"116","0021",37258,673,54192,"2022-03-21 00:02:44.966",1641166
"117","0022",19043,72,54192,"2022-03-21 00:02:44.966",21492
"118","0023",23275,83,54192,"2022-03-21 00:02:44.966",885
"119","0025",24603,159,54192,"2022-03-21 00:02:44.966",5169
"120","0026",29293,106,54192,"2022-03-21 00:02:44.966",71323
"121","0027",36661,234,54192,"2022-03-21 00:02:44.966",307002
"122","0028",19952,64,54192,"2022-03-21 00:02:44.966",81307
"123","0040",37069,223,54192,"2022-03-21 00:02:44.966",8904347
"124","0044",12951,11,54192,"2022-03-21 00:02:44.966",47112
"125","0047",1617,4,54192,"2022-03-21 00:02:44.966",27678
"126","0001",30723,127,54196,"2022-03-21 01:01:34.950",23557
"127","0003",32550,104,54196,"2022-03-21 01:01:34.950",81458
"128","0004",4025,149,54196,"2022-03-21 01:01:34.950",28408
"129","0005",35246,69,54196,"2022-03-21 01:01:34.950",1048452
"130","0009",32962,168,54196,"2022-03-21 01:01:34.950",7490312
"131","000B",1615,14,54196,"2022-03-21 01:01:34.950",38616
"132","0021",37296,673,54196,"2022-03-21 01:01:34.950",1529786
"133","0022",19081,72,54196,"2022-03-21 01:01:34.950",21423
"134","0023",23313,83,54196,"2022-03-21 01:01:34.950",632
"135","0025",24641,159,54196,"2022-03-21 01:01:34.950",5008
"136","0026",29331,106,54196,"2022-03-21 01:01:34.950",63540
"137","0027",36699,234,54196,"2022-03-21 01:01:34.950",305175
"138","0028",19990,64,54196,"2022-03-21 01:01:34.950",39960
"139","0040",37107,223,54196,"2022-03-21 01:01:34.950",8237152
"140","0044",12951,11,54196,"2022-03-21 01:01:34.950",125342
"141","0047",1617,4,54196,"2022-03-21 01:01:34.950",75863
"142","0001",30724,127,54200,"2022-03-21 02:00:21.284",19777
"143","0003",32551,104,54200,"2022-03-21 02:00:21.284",118628
"144","0004",4025,149,54200,"2022-03-21 02:00:21.284",21486
"145","0005",35247,69,54200,"2022-03-21 02:00:21.284",1110463
"146","0009",32963,168,54200,"2022-03-21 02:00:21.284",7486275
"147","0021",37323,673,54200,"2022-03-21 02:00:21.284",1604282
"148","0022",19081,72,54200,"2022-03-21 02:00:21.284",21372
"149","0023",23314,83,54200,"2022-03-21 02:00:21.284",35827
"150","0025",24642,159,54200,"2022-03-21 02:00:21.284",5648
"151","0026",29332,106,54200,"2022-03-21 02:00:21.284",55257
"152","0027",36700,234,54200,"2022-03-21 02:00:21.284",304398
"153","0028",19990,64,54200,"2022-03-21 02:00:21.284",41329
"154","0040",37134,223,54200,"2022-03-21 02:00:21.284",7804341
"155","0044",12952,11,54200,"2022-03-21 02:00:21.284",129739
"156","0047",1617,4,54200,"2022-03-21 02:00:21.284",148521
"157","0001",30724,127,54204,"2022-03-21 03:03:44.365",15378
"158","0003",32551,104,54204,"2022-03-21 03:03:44.365",60395
"159","0004",4025,149,54204,"2022-03-21 03:03:44.365",31029
"160","0005",35247,69,54204,"2022-03-21 03:03:44.365",897939
"161","0009",32971,168,54204,"2022-03-21 03:03:44.365",8334813
"162","0021",37359,673,54204,"2022-03-21 03:03:44.365",1443870
"163","0022",19081,72,54204,"2022-03-21 03:03:44.365",20525
"164","0023",23314,83,54204,"2022-03-21 03:03:44.365",885
"165","0025",24642,159,54204,"2022-03-21 03:03:44.365",43450
"166","0026",29332,106,54204,"2022-03-21 03:03:44.365",63185
"167","0027",36700,234,54204,"2022-03-21 03:03:44.365",288882
"168","0028",19990,64,54204,"2022-03-21 03:03:44.365",37519
"169","0040",37169,223,54204,"2022-03-21 03:03:44.365",6357793
"170","0044",12952,11,54204,"2022-03-21 03:03:44.365",84703
"171","0047",1617,4,54204,"2022-03-21 03:03:44.365",94793
"172","0001",30725,127,54208,"2022-03-21 04:01:59.536",24313
"173","0003",32551,104,54208,"2022-03-21 04:01:59.536",88542
"174","0004",4025,149,54208,"2022-03-21 04:01:59.536",22665
"175","0005",35247,69,54208,"2022-03-21 04:01:59.536",830886
"176","0009",32971,168,54208,"2022-03-21 04:01:59.536",8496499
"177","0021",37362,673,54208,"2022-03-21 04:01:59.536",1369519
