"","chain","amount_staked_nodes","amount_staked_apps","aligned_height","date","all_relays"
"1","0001",31159,127,55940,"2022-04-08 17:09:29.861",43986
"2","0003",37128,103,55940,"2022-04-08 17:09:29.861",178924
"3","0004",8052,149,55940,"2022-04-08 17:09:29.861",19978
"4","0005",41245,69,55940,"2022-04-08 17:09:29.861",1399010
"5","0006",6022,55,55940,"2022-04-08 17:09:29.861",6493
"6","0009",39842,193,55940,"2022-04-08 17:09:29.861",14436613
"7","000A",5506,4,55940,"2022-04-08 17:09:29.861",1059
"8","000B",2086,14,55940,"2022-04-08 17:09:29.861",8284
"9","000C",5108,14,55940,"2022-04-08 17:09:29.861",214427
"10","0010",3221,14,55940,"2022-04-08 17:09:29.861",1088
"11","0021",42012,673,55940,"2022-04-08 17:09:29.861",1689805
"12","0022",23496,72,55940,"2022-04-08 17:09:29.861",215818
"13","0023",25008,83,55940,"2022-04-08 17:09:29.861",11061
"14","0024",19335,72,55940,"2022-04-08 17:09:29.861",765
"15","0025",28618,159,55940,"2022-04-08 17:09:29.861",16997
"16","0026",34953,106,55940,"2022-04-08 17:09:29.861",36375
"17","0027",41119,234,55940,"2022-04-08 17:09:29.861",3506138
"18","0028",24142,64,55940,"2022-04-08 17:09:29.861",61235
"19","0040",41796,223,55940,"2022-04-08 17:09:29.861",8848095
"20","0044",16539,11,55940,"2022-04-08 17:09:29.861",42502
"21","0047",7477,4,55940,"2022-04-08 17:09:29.861",4534
"22","0048",4322,3,55940,"2022-04-08 17:09:29.861",52931
"23","03DF",18465,11,55940,"2022-04-08 17:09:29.861",641927
"24","0001",31216,127,55944,"2022-04-08 18:07:38.086",48094
"25","0003",37185,103,55944,"2022-04-08 18:07:38.086",161086
"26","0004",8057,149,55944,"2022-04-08 18:07:38.086",20335
"27","0005",41309,69,55944,"2022-04-08 18:07:38.086",1503201
"28","0006",6022,55,55944,"2022-04-08 18:07:38.086",9636
"29","0009",39899,193,55944,"2022-04-08 18:07:38.086",10760846
"30","000A",5506,4,55944,"2022-04-08 18:07:38.086",1585
"31","000B",2086,14,55944,"2022-04-08 18:07:38.086",10218
"32","000C",5108,14,55944,"2022-04-08 18:07:38.086",193528
"33","0010",3270,14,55944,"2022-04-08 18:07:38.086",1115
"34","0021",42069,673,55944,"2022-04-08 18:07:38.086",1474774
"35","0022",23496,72,55944,"2022-04-08 18:07:38.086",147601
"36","0023",25060,83,55944,"2022-04-08 18:07:38.086",2710
"37","0024",19343,72,55944,"2022-04-08 18:07:38.086",658
"38","0025",28675,159,55944,"2022-04-08 18:07:38.086",15197
"39","0026",35010,106,55944,"2022-04-08 18:07:38.086",33401
"40","0027",41183,234,55944,"2022-04-08 18:07:38.086",3377022
"41","0028",24142,64,55944,"2022-04-08 18:07:38.086",54640
"42","0040",41853,223,55944,"2022-04-08 18:07:38.086",8847826
"43","0044",16546,11,55944,"2022-04-08 18:07:38.086",40601
"44","0047",7477,4,55944,"2022-04-08 18:07:38.086",6370
"45","0048",4322,3,55944,"2022-04-08 18:07:38.086",83323
"46","03DF",18472,11,55944,"2022-04-08 18:07:38.086",657688
"47","0001",31220,127,55948,"2022-04-08 19:11:01.222",51487
"48","0003",37210,103,55948,"2022-04-08 19:11:01.222",175760
"49","0004",8080,149,55948,"2022-04-08 19:11:01.222",21620
"50","0005",41335,69,55948,"2022-04-08 19:11:01.222",1541414
"51","0006",6044,55,55948,"2022-04-08 19:11:01.222",7140
"52","0009",39924,193,55948,"2022-04-08 19:11:01.222",13942370
"53","000A",5506,4,55948,"2022-04-08 19:11:01.222",1581
"54","000B",2086,14,55948,"2022-04-08 19:11:01.222",10040
"55","000C",5108,14,55948,"2022-04-08 19:11:01.222",185030
"56","0010",3270,14,55948,"2022-04-08 19:11:01.222",1726
"57","0021",42094,673,55948,"2022-04-08 19:11:01.222",1571298
"58","0022",23518,72,55948,"2022-04-08 19:11:01.222",254147
"59","0023",25062,83,55948,"2022-04-08 19:11:01.222",12327
"60","0024",19347,72,55948,"2022-04-08 19:11:01.222",889
"61","0025",28700,159,55948,"2022-04-08 19:11:01.222",9949
"62","0026",35035,106,55948,"2022-04-08 19:11:01.222",38480
"63","0027",41210,234,55948,"2022-04-08 19:11:01.222",4631012
"64","0028",24164,64,55948,"2022-04-08 19:11:01.222",59892
"65","0040",41878,223,55948,"2022-04-08 19:11:01.222",10603089
"66","0044",16571,11,55948,"2022-04-08 19:11:01.222",59763
"67","0047",7498,4,55948,"2022-04-08 19:11:01.222",5854
"68","0048",4322,3,55948,"2022-04-08 19:11:01.222",85282
"69","03DF",18495,11,55948,"2022-04-08 19:11:01.222",756159
"70","0001",31223,127,55952,"2022-04-08 20:10:07.980",51280
"71","0003",37213,103,55952,"2022-04-08 20:10:07.980",137699
"72","0004",8081,149,55952,"2022-04-08 20:10:07.980",22815
"73","0005",41338,69,55952,"2022-04-08 20:10:07.980",1331199
"74","0006",6044,55,55952,"2022-04-08 20:10:07.980",10121
"75","0009",39927,193,55952,"2022-04-08 20:10:07.980",12529627
"76","000A",5506,4,55952,"2022-04-08 20:10:07.980",2036
"77","000B",2086,14,55952,"2022-04-08 20:10:07.980",9848
"78","000C",5108,14,55952,"2022-04-08 20:10:07.980",159052
"79","0010",3270,14,55952,"2022-04-08 20:10:07.980",1352
"80","0021",42097,673,55952,"2022-04-08 20:10:07.980",1308376
"81","0022",23519,72,55952,"2022-04-08 20:10:07.980",246981
"82","0023",25064,83,55952,"2022-04-08 20:10:07.980",4757
"83","0024",19350,72,55952,"2022-04-08 20:10:07.980",787
"84","0025",28703,159,55952,"2022-04-08 20:10:07.980",16636
"85","0026",35038,106,55952,"2022-04-08 20:10:07.980",37600
"86","0027",41213,234,55952,"2022-04-08 20:10:07.980",2688531
"87","0028",24165,64,55952,"2022-04-08 20:10:07.980",63487
"88","0040",41881,223,55952,"2022-04-08 20:10:07.980",9656898
"89","0044",16574,11,55952,"2022-04-08 20:10:07.980",76401
"90","0047",7498,4,55952,"2022-04-08 20:10:07.980",6794
"91","0048",4322,3,55952,"2022-04-08 20:10:07.980",67665
"92","03DF",18496,11,55952,"2022-04-08 20:10:07.980",690270
"93","0001",31228,127,55956,"2022-04-08 21:18:15.052",45588
"94","0003",37218,103,55956,"2022-04-08 21:18:15.052",115902
"95","0004",8561,149,55956,"2022-04-08 21:18:15.052",21429
"96","0005",41343,69,55956,"2022-04-08 21:18:15.052",1325803
"97","0006",6044,55,55956,"2022-04-08 21:18:15.052",9026
"98","0009",39932,193,55956,"2022-04-08 21:18:15.052",11749283
"99","000A",5506,4,55956,"2022-04-08 21:18:15.052",1518
"100","000B",2086,14,55956,"2022-04-08 21:18:15.052",9556
"101","000C",5108,14,55956,"2022-04-08 21:18:15.052",181648
"102","0010",3275,14,55956,"2022-04-08 21:18:15.052",1689
"103","0021",42102,673,55956,"2022-04-08 21:18:15.052",1213546
"104","0022",23522,72,55956,"2022-04-08 21:18:15.052",206389
"105","0023",24590,83,55956,"2022-04-08 21:18:15.052",9809
"106","0024",19350,72,55956,"2022-04-08 21:18:15.052",969
"107","0025",28708,159,55956,"2022-04-08 21:18:15.052",24193
"108","0026",35043,106,55956,"2022-04-08 21:18:15.052",40222
"109","0027",41218,234,55956,"2022-04-08 21:18:15.052",1045601
"110","0028",24168,64,55956,"2022-04-08 21:18:15.052",62448
"111","0040",41903,223,55956,"2022-04-08 21:18:15.052",9818284
"112","0044",16574,11,55956,"2022-04-08 21:18:15.052",89341
"113","0047",7498,4,55956,"2022-04-08 21:18:15.052",6617
"114","0048",4322,3,55956,"2022-04-08 21:18:15.052",64535
"115","03DF",18973,11,55956,"2022-04-08 21:18:15.052",642777
"116","0001",31231,127,55960,"2022-04-08 22:17:38.968",41748
"117","0003",37220,103,55960,"2022-04-08 22:17:38.968",121407
"118","0004",8950,149,55960,"2022-04-08 22:17:38.968",22538
"119","0005",41345,69,55960,"2022-04-08 22:17:38.968",1096168
"120","0006",6045,55,55960,"2022-04-08 22:17:38.968",16632
"121","0009",39935,193,55960,"2022-04-08 22:17:38.968",10667696
"122","000A",5506,4,55960,"2022-04-08 22:17:38.968",1848
"123","000B",2086,14,55960,"2022-04-08 22:17:38.968",9316
"124","000C",5108,14,55960,"2022-04-08 22:17:38.968",120274
"125","0010",3275,14,55960,"2022-04-08 22:17:38.968",1902
"126","0021",42105,673,55960,"2022-04-08 22:17:38.968",1308150
