"","chain","amount_staked_nodes","amount_staked_apps","aligned_height","date","all_relays"
"1","0001",29086,127,53628,"2022-03-15 02:17:16.772",22889
"2","0003",30885,104,53628,"2022-03-15 02:17:16.772",34450
"3","0004",3916,149,53628,"2022-03-15 02:17:16.772",35847
"4","0005",31851,69,53628,"2022-03-15 02:17:16.772",703048
"5","0009",25401,163,53628,"2022-03-15 02:17:16.772",1923294
"6","0021",35817,673,53628,"2022-03-15 02:17:16.772",1009390
"7","0022",16687,72,53628,"2022-03-15 02:17:16.772",34125
"8","0023",19939,83,53628,"2022-03-15 02:17:16.772",842
"9","0025",21235,159,53628,"2022-03-15 02:17:16.772",40824
"10","0026",25831,106,53628,"2022-03-15 02:17:16.772",52004
"11","0027",35285,234,53628,"2022-03-15 02:17:16.772",236857
"12","0028",17596,64,53628,"2022-03-15 02:17:16.772",27160
"13","0040",35618,223,53628,"2022-03-15 02:17:16.772",5135707
"14","0044",10766,11,53628,"2022-03-15 02:17:16.772",22024
"15","0001",29089,127,53632,"2022-03-15 03:16:10.458",23259
"16","0003",30888,104,53632,"2022-03-15 03:16:10.458",17876
"17","0004",3916,149,53632,"2022-03-15 03:16:10.458",30736
"18","0005",31854,69,53632,"2022-03-15 03:16:10.458",851627
"19","0009",25402,163,53632,"2022-03-15 03:16:10.458",1410109
"20","0021",35820,673,53632,"2022-03-15 03:16:10.458",1160838
"21","0022",16687,72,53632,"2022-03-15 03:16:10.458",36569
"22","0023",19940,83,53632,"2022-03-15 03:16:10.458",1428
"23","0025",21238,159,53632,"2022-03-15 03:16:10.458",39215
"24","0026",25832,106,53632,"2022-03-15 03:16:10.458",59472
"25","0027",35288,234,53632,"2022-03-15 03:16:10.458",253897
"26","0028",17596,64,53632,"2022-03-15 03:16:10.458",42202
"27","0040",35621,223,53632,"2022-03-15 03:16:10.458",4975662
"28","0044",10767,11,53632,"2022-03-15 03:16:10.458",65072
"29","0001",29090,127,53636,"2022-03-15 04:14:49.527",16220
"30","0003",30889,104,53636,"2022-03-15 04:14:49.527",28292
"31","0004",3916,149,53636,"2022-03-15 04:14:49.527",33777
"32","0005",31856,69,53636,"2022-03-15 04:14:49.527",870863
"33","0009",25402,163,53636,"2022-03-15 04:14:49.527",1544346
"34","000B",1585,14,53636,"2022-03-15 04:14:49.527",43480
"35","0021",35821,673,53636,"2022-03-15 04:14:49.527",1123542
"36","0022",16687,72,53636,"2022-03-15 04:14:49.527",36867
"37","0023",19941,83,53636,"2022-03-15 04:14:49.527",1110
"38","0025",21239,159,53636,"2022-03-15 04:14:49.527",4912
"39","0026",25833,106,53636,"2022-03-15 04:14:49.527",60068
"40","0027",35289,234,53636,"2022-03-15 04:14:49.527",272563
"41","0028",17596,64,53636,"2022-03-15 04:14:49.527",31075
"42","0040",35622,223,53636,"2022-03-15 04:14:49.527",5056123
"43","0044",10768,11,53636,"2022-03-15 04:14:49.527",53623
"44","0001",29093,127,53640,"2022-03-15 05:21:59.516",22258
"45","0003",30892,104,53640,"2022-03-15 05:21:59.516",35715
"46","0004",3916,149,53640,"2022-03-15 05:21:59.516",86034
"47","0005",31859,69,53640,"2022-03-15 05:21:59.516",740092
"48","0006",4897,55,53640,"2022-03-15 05:21:59.516",28000
"49","0009",25403,163,53640,"2022-03-15 05:21:59.516",2080958
"50","0021",35824,673,53640,"2022-03-15 05:21:59.516",1089262
"51","0022",16690,72,53640,"2022-03-15 05:21:59.516",36685
"52","0023",19943,83,53640,"2022-03-15 05:21:59.516",1038
"53","0025",21242,159,53640,"2022-03-15 05:21:59.516",4753
"54","0026",25836,106,53640,"2022-03-15 05:21:59.516",59215
"55","0027",35292,234,53640,"2022-03-15 05:21:59.516",271170
"56","0028",17599,64,53640,"2022-03-15 05:21:59.516",37304
"57","0040",35625,223,53640,"2022-03-15 05:21:59.516",4522608
"58","0044",10771,11,53640,"2022-03-15 05:21:59.516",8510
"59","0001",29094,127,53644,"2022-03-15 06:20:39.552",30197
"60","0003",30893,104,53644,"2022-03-15 06:20:39.552",38697
"61","0004",3916,149,53644,"2022-03-15 06:20:39.552",35317
"62","0005",31860,69,53644,"2022-03-15 06:20:39.552",961118
"63","0009",25404,163,53644,"2022-03-15 06:20:39.552",1634221
"64","000A",5471,4,53644,"2022-03-15 06:20:39.552",32949
"65","000B",1585,14,53644,"2022-03-15 06:20:39.552",37811
"66","0021",35825,673,53644,"2022-03-15 06:20:39.552",1138894
"67","0022",16691,72,53644,"2022-03-15 06:20:39.552",32255
"68","0023",19944,83,53644,"2022-03-15 06:20:39.552",1143
"69","0025",21243,159,53644,"2022-03-15 06:20:39.552",4987
"70","0026",25837,106,53644,"2022-03-15 06:20:39.552",58149
"71","0027",35293,234,53644,"2022-03-15 06:20:39.552",261267
"72","0028",17600,64,53644,"2022-03-15 06:20:39.552",30359
"73","0040",35626,223,53644,"2022-03-15 06:20:39.552",4915093
"74","0044",10772,11,53644,"2022-03-15 06:20:39.552",14340
"75","0001",29089,127,53648,"2022-03-15 07:22:12.196",23196
"76","0003",30888,104,53648,"2022-03-15 07:22:12.196",43110
"77","0004",3916,149,53648,"2022-03-15 07:22:12.196",38384
"78","0005",31855,69,53648,"2022-03-15 07:22:12.196",807109
"79","0009",25398,163,53648,"2022-03-15 07:22:12.196",1609851
"80","000B",1585,14,53648,"2022-03-15 07:22:12.196",39458
"81","0021",35820,673,53648,"2022-03-15 07:22:12.196",1163350
"82","0022",16691,72,53648,"2022-03-15 07:22:12.196",39109
"83","0023",19938,83,53648,"2022-03-15 07:22:12.196",888
"84","0025",21237,159,53648,"2022-03-15 07:22:12.196",6916
"85","0026",25831,106,53648,"2022-03-15 07:22:12.196",65139
"86","0027",35288,234,53648,"2022-03-15 07:22:12.196",274578
"87","0028",17600,64,53648,"2022-03-15 07:22:12.196",33324
"88","0040",35621,223,53648,"2022-03-15 07:22:12.196",5214619
"89","0044",10768,11,53648,"2022-03-15 07:22:12.196",19246
"90","0001",29089,127,53652,"2022-03-15 08:21:16.616",23174
"91","0003",30889,104,53652,"2022-03-15 08:21:16.616",38727
"92","0004",3916,149,53652,"2022-03-15 08:21:16.616",45268
"93","0005",31855,69,53652,"2022-03-15 08:21:16.616",935984
"94","0006",4897,55,53652,"2022-03-15 08:21:16.616",33160
"95","0009",25398,163,53652,"2022-03-15 08:21:16.616",1898293
"96","000A",5471,4,53652,"2022-03-15 08:21:16.616",37876
"97","0021",35820,673,53652,"2022-03-15 08:21:16.616",991824
"98","0022",16691,72,53652,"2022-03-15 08:21:16.616",50658
"99","0023",19938,83,53652,"2022-03-15 08:21:16.616",1649
"100","0025",21237,159,53652,"2022-03-15 08:21:16.616",5688
"101","0026",25831,106,53652,"2022-03-15 08:21:16.616",57022
"102","0027",35288,234,53652,"2022-03-15 08:21:16.616",250220
"103","0028",17600,64,53652,"2022-03-15 08:21:16.616",28830
"104","0040",35621,223,53652,"2022-03-15 08:21:16.616",5318285
"105","0044",10768,11,53652,"2022-03-15 08:21:16.616",21471
"106","0001",29089,127,53656,"2022-03-15 09:19:43.907",17148
"107","0003",30889,104,53656,"2022-03-15 09:19:43.907",35199
"108","0004",3916,149,53656,"2022-03-15 09:19:43.907",38325
"109","0005",31855,69,53656,"2022-03-15 09:19:43.907",823254
"110","0006",4897,55,53656,"2022-03-15 09:19:43.907",31403
"111","0009",25398,163,53656,"2022-03-15 09:19:43.907",1364168
"112","000B",1585,14,53656,"2022-03-15 09:19:43.907",36581
"113","0021",35820,673,53656,"2022-03-15 09:19:43.907",1085497
"114","0022",16690,72,53656,"2022-03-15 09:19:43.907",43556
"115","0023",19938,83,53656,"2022-03-15 09:19:43.907",1185
"116","0025",21237,159,53656,"2022-03-15 09:19:43.907",3381
"117","0026",25831,106,53656,"2022-03-15 09:19:43.907",61019
"118","0027",35288,234,53656,"2022-03-15 09:19:43.907",254247
"119","0028",17599,64,53656,"2022-03-15 09:19:43.907",32593
"120","0040",35621,223,53656,"2022-03-15 09:19:43.907",4813664
"121","0044",10768,11,53656,"2022-03-15 09:19:43.907",11090
"122","0001",29090,127,53660,"2022-03-15 10:18:17.763",16266
"123","0003",30890,104,53660,"2022-03-15 10:18:17.763",46042
"124","0004",3916,149,53660,"2022-03-15 10:18:17.763",45747
"125","0005",31856,69,53660,"2022-03-15 10:18:17.763",729228
"126","0009",25398,163,53660,"2022-03-15 10:18:17.763",1601647
"127","000A",5471,4,53660,"2022-03-15 10:18:17.763",44532
"128","0021",35821,673,53660,"2022-03-15 10:18:17.763",1151080
"129","0022",16690,72,53660,"2022-03-15 10:18:17.763",57615
"130","0023",19938,83,53660,"2022-03-15 10:18:17.763",38913
"131","0025",21237,159,53660,"2022-03-15 10:18:17.763",5567
"132","0026",25831,106,53660,"2022-03-15 10:18:17.763",55935
"133","0027",35289,234,53660,"2022-03-15 10:18:17.763",235624
"134","0028",17599,64,53660,"2022-03-15 10:18:17.763",31185
"135","0040",35622,223,53660,"2022-03-15 10:18:17.763",5445328
"136","0044",10768,11,53660,"2022-03-15 10:18:17.763",16096
"137","0001",29090,127,53664,"2022-03-15 11:16:20.583",18365
"138","0003",30889,104,53664,"2022-03-15 11:16:20.583",80300
"139","0004",3916,149,53664,"2022-03-15 11:16:20.583",30282
"140","0005",31856,69,53664,"2022-03-15 11:16:20.583",824016
"141","0006",4897,55,53664,"2022-03-15 11:16:20.583",29458
"142","0009",25398,163,53664,"2022-03-15 11:16:20.583",1892349
"143","0021",35821,673,53664,"2022-03-15 11:16:20.583",1110685
"144","0022",16690,72,53664,"2022-03-15 11:16:20.583",32876
"145","0023",19938,83,53664,"2022-03-15 11:16:20.583",623
"146","0025",21237,159,53664,"2022-03-15 11:16:20.583",6636
"147","0026",25831,106,53664,"2022-03-15 11:16:20.583",54769
"148","0027",35289,234,53664,"2022-03-15 11:16:20.583",250028
"149","0028",17599,64,53664,"2022-03-15 11:16:20.583",37256
"150","0040",35622,223,53664,"2022-03-15 11:16:20.583",6142634
"151","0044",10768,11,53664,"2022-03-15 11:16:20.583",11529
"152","0001",29090,127,53668,"2022-03-15 12:17:57.703",19137
"153","0003",30889,104,53668,"2022-03-15 12:17:57.703",45911
"154","0004",3916,149,53668,"2022-03-15 12:17:57.703",38604
"155","0005",31856,69,53668,"2022-03-15 12:17:57.703",972553
"156","0009",25398,163,53668,"2022-03-15 12:17:57.703",1864316
"157","000A",5471,4,53668,"2022-03-15 12:17:57.703",33060
"158","0021",35821,673,53668,"2022-03-15 12:17:57.703",1285330
"159","0022",16690,72,53668,"2022-03-15 12:17:57.703",22590
"160","0023",19938,83,53668,"2022-03-15 12:17:57.703",983
"161","0024",18069,72,53668,"2022-03-15 12:17:57.703",35423
"162","0025",21237,159,53668,"2022-03-15 12:17:57.703",5715
"163","0026",25831,106,53668,"2022-03-15 12:17:57.703",55987
"164","0027",35289,234,53668,"2022-03-15 12:17:57.703",243825
"165","0028",17599,64,53668,"2022-03-15 12:17:57.703",38178
"166","0040",35622,223,53668,"2022-03-15 12:17:57.703",5842875
"167","0044",10768,11,53668,"2022-03-15 12:17:57.703",2189
"168","0001",29090,127,53672,"2022-03-15 13:16:18.174",19438
"169","0003",30889,104,53672,"2022-03-15 13:16:18.174",55217
"170","0004",3916,149,53672,"2022-03-15 13:16:18.174",95082
"171","0005",31856,69,53672,"2022-03-15 13:16:18.174",989627
"172","0009",25398,163,53672,"2022-03-15 13:16:18.174",2253024
"173","000B",1585,14,53672,"2022-03-15 13:16:18.174",32159
"174","0021",35821,673,53672,"2022-03-15 13:16:18.174",1357435
"175","0022",16690,72,53672,"2022-03-15 13:16:18.174",18882
"176","0023",19938,83,53672,"2022-03-15 13:16:18.174",952
"177","0025",21237,159,53672,"2022-03-15 13:16:18.174",4279
"178","0026",25831,106,53672,"2022-03-15 13:16:18.174",62598
"179","0027",35289,234,53672,"2022-03-15 13:16:18.174",244199
"180","0028",17599,64,53672,"2022-03-15 13:16:18.174",40537
"181","0040",35622,223,53672,"2022-03-15 13:16:18.174",6853823
"182","0044",10768,11,53672,"2022-03-15 13:16:18.174",2736
"183","0001",29090,127,53676,"2022-03-15 14:15:12.804",22629
"184","0003",30889,104,53676,"2022-03-15 14:15:12.804",32780
"185","0004",3916,149,53676,"2022-03-15 14:15:12.804",66679
"186","0005",31856,69,53676,"2022-03-15 14:15:12.804",798108
