"","chain","amount_staked_nodes","amount_staked_apps","aligned_height","date","all_relays"
"1","0001",31942,127,54912,"2022-03-28 16:21:25.008",31601
"2","0003",34201,104,54912,"2022-03-28 16:21:25.008",144525
"3","0004",5564,149,54912,"2022-03-28 16:21:25.008",50421
"4","0005",37701,69,54912,"2022-03-28 16:21:25.008",1513939
"5","0009",36804,193,54912,"2022-03-28 16:21:25.008",12703972
"6","000A",5212,4,54912,"2022-03-28 16:21:25.008",8197
"7","000C",4556,14,54912,"2022-03-28 16:21:25.008",48604
"8","0021",38968,673,54912,"2022-03-28 16:21:25.008",6568617
"9","0022",21830,72,54912,"2022-03-28 16:21:25.008",143769
"10","0023",25207,83,54912,"2022-03-28 16:21:25.008",109448
"11","0024",20567,72,54912,"2022-03-28 16:21:25.008",5807
"12","0025",26641,159,54912,"2022-03-28 16:21:25.008",12743
"13","0026",32021,106,54912,"2022-03-28 16:21:25.008",73230
"14","0027",38118,234,54912,"2022-03-28 16:21:25.008",274933
"15","0028",22751,64,54912,"2022-03-28 16:21:25.008",59784
"16","0040",38773,223,54912,"2022-03-28 16:21:25.008",10033301
"17","0044",14771,11,54912,"2022-03-28 16:21:25.008",35340
"18","0047",5393,4,54912,"2022-03-28 16:21:25.008",5200
"19","0048",1116,3,54912,"2022-03-28 16:21:25.008",10917
"20","0001",31943,127,54916,"2022-03-28 17:20:32.887",26216
"21","0003",34202,104,54916,"2022-03-28 17:20:32.887",205363
"22","0004",5564,149,54916,"2022-03-28 17:20:32.887",50387
"23","0005",37702,69,54916,"2022-03-28 17:20:32.887",1755602
"24","0009",36806,193,54916,"2022-03-28 17:20:32.887",12358258
"25","000A",5212,4,54916,"2022-03-28 17:20:32.887",9818
"26","000C",4556,14,54916,"2022-03-28 17:20:32.887",40219
"27","0021",38970,673,54916,"2022-03-28 17:20:32.887",7065595
"28","0022",21830,72,54916,"2022-03-28 17:20:32.887",178365
"29","0023",25208,83,54916,"2022-03-28 17:20:32.887",3112
"30","0024",20568,72,54916,"2022-03-28 17:20:32.887",4611
"31","0025",26642,159,54916,"2022-03-28 17:20:32.887",16998
"32","0026",32022,106,54916,"2022-03-28 17:20:32.887",70390
"33","0027",38117,234,54916,"2022-03-28 17:20:32.887",337421
"34","0028",22751,64,54916,"2022-03-28 17:20:32.887",64691
"35","0040",38775,223,54916,"2022-03-28 17:20:32.887",11166628
"36","0044",14772,11,54916,"2022-03-28 17:20:32.887",51738
"37","0047",5393,4,54916,"2022-03-28 17:20:32.887",4616
"38","0048",1116,3,54916,"2022-03-28 17:20:32.887",9592
"39","0001",31970,127,54920,"2022-03-28 18:19:32.643",22308
"40","0003",34229,104,54920,"2022-03-28 18:19:32.643",159884
"41","0004",5564,149,54920,"2022-03-28 18:19:32.643",50201
"42","0005",37729,69,54920,"2022-03-28 18:19:32.643",1722825
"43","0009",36833,193,54920,"2022-03-28 18:19:32.643",12055942
"44","000A",5212,4,54920,"2022-03-28 18:19:32.643",5780
"45","000C",4556,14,54920,"2022-03-28 18:19:32.643",29899
"46","0021",38997,673,54920,"2022-03-28 18:19:32.643",6190853
"47","0022",21830,72,54920,"2022-03-28 18:19:32.643",159765
"48","0023",25235,83,54920,"2022-03-28 18:19:32.643",12133
"49","0024",20595,72,54920,"2022-03-28 18:19:32.643",2252
"50","0025",26669,159,54920,"2022-03-28 18:19:32.643",13523
"51","0026",32049,106,54920,"2022-03-28 18:19:32.643",68456
"52","0027",38144,234,54920,"2022-03-28 18:19:32.643",364408
"53","0028",22751,64,54920,"2022-03-28 18:19:32.643",55723
"54","0040",38802,223,54920,"2022-03-28 18:19:32.643",10424875
"55","0044",14799,11,54920,"2022-03-28 18:19:32.643",52077
"56","0047",5393,4,54920,"2022-03-28 18:19:32.643",7115
"57","0048",1116,3,54920,"2022-03-28 18:19:32.643",9720
"58","0001",31995,127,54924,"2022-03-28 19:17:48.425",30874
"59","0003",34256,104,54924,"2022-03-28 19:17:48.425",199008
"60","0004",5576,149,54924,"2022-03-28 19:17:48.425",52830
"61","0005",37756,69,54924,"2022-03-28 19:17:48.425",1511907
"62","0009",36860,193,54924,"2022-03-28 19:17:48.425",10987115
"63","000A",5212,4,54924,"2022-03-28 19:17:48.425",8509
"64","000C",4556,14,54924,"2022-03-28 19:17:48.425",41183
"65","0021",39023,673,54924,"2022-03-28 19:17:48.425",6597775
"66","0022",21842,72,54924,"2022-03-28 19:17:48.425",181401
"67","0023",25249,83,54924,"2022-03-28 19:17:48.425",6467
"68","0024",20621,72,54924,"2022-03-28 19:17:48.425",3398
"69","0025",26683,159,54924,"2022-03-28 19:17:48.425",12476
"70","0026",32075,106,54924,"2022-03-28 19:17:48.425",68956
"71","0027",38171,234,54924,"2022-03-28 19:17:48.425",344759
"72","0028",22763,64,54924,"2022-03-28 19:17:48.425",64016
"73","0040",38829,223,54924,"2022-03-28 19:17:48.425",10052086
"74","0044",14815,11,54924,"2022-03-28 19:17:48.425",52744
"75","0047",5405,4,54924,"2022-03-28 19:17:48.425",3837
"76","0048",1116,3,54924,"2022-03-28 19:17:48.425",9335
"77","0001",32009,127,54928,"2022-03-28 20:16:38.448",30795
"78","0003",34270,104,54928,"2022-03-28 20:16:38.448",189676
"79","0004",5585,149,54928,"2022-03-28 20:16:38.448",45670
"80","0005",37770,69,54928,"2022-03-28 20:16:38.448",1122370
"81","0009",36874,193,54928,"2022-03-28 20:16:38.448",7788630
"82","000A",5212,4,54928,"2022-03-28 20:16:38.448",8511
"83","000C",4556,14,54928,"2022-03-28 20:16:38.448",22718
"84","0021",39037,673,54928,"2022-03-28 20:16:38.448",4248096
"85","0022",21851,72,54928,"2022-03-28 20:16:38.448",70459
"86","0023",25254,83,54928,"2022-03-28 20:16:38.448",4170
"87","0024",20635,72,54928,"2022-03-28 20:16:38.448",5264
"88","0025",26688,159,54928,"2022-03-28 20:16:38.448",10751
"89","0026",32089,106,54928,"2022-03-28 20:16:38.448",68200
"90","0027",38209,234,54928,"2022-03-28 20:16:38.448",236196
